# Delta Green TRPG 术语表 — THE MILLENNIUM
# 格式: 中文译名<TAB>英文原名
# 以 # 开头的行为注释，会被忽略
#
# ===== 组织与机构 =====
绿色三角洲	Delta Green
古亚维城	Gur'yev
黑山羊的子嗣	Haedus Nigritia
哈利工作室	Haley Productions
掌局者	handler
哈利·沃伦	Harley Warren
哈利·圣约翰·费里比	Harry St. John Philby
哈斯塔	Hastur
哈提格-科拉峰	Hatheg-Kla
与尸同游者	He-Who-Swims-with-Corpses
治愈芳香	Healing Balm
亨利·内默斯	Henry Nemmers
她的灰歌	Her Grey Song
赫伯特·韦斯特	Herbert West
女巫特别令	Hexenkartothek
相角猎犬	Hounds of the Angle
玄子	Hsan the Greater
巨型	Huge
饥馑者	hungerer
恐怖猎手	Hunting-Horror
海觉镇	Hydro
许珀耳玻瑞亚	Hyperborea
冰洞	ICE CAVE
炎魔	Ifrit
不朽的信使	Immortal Messenger
伊纳希特兰	Ina'hitelan
不可违抗的旨意	Infallible Suggestion
内层空间	inner space
印斯茅斯	Innsmouth
夏盖虫族	Insect From Shaggai
国际发展解决方案	International Development Solutions
伊拉克阵亡人员清点工程	Iraq Body Count Project
千柱埃雷姆	Irem of the Pillars
伊拉修亚	Itla-shua
碧玉头盔 15 行动	Jade Helm 15
詹姆斯·德林格尔	James Derringer
詹姆斯·福里斯特尔	James Forrestal
詹姆斯·波尔森	James Polson
哈维尔·穆尼奥斯	Javier Muñoz
琼·C·里希特	Jean C. Richter
琼·奎尔思	Jean Qualls
杰尔敏大宅	Jermyn House
乔·西鲁斯	Joe Siringo
约翰内斯·涅皮尔	Johannes Knepier
约翰·阿什克罗夫特	John Ashcroft
约翰·盖茨	John Gates
约翰·史密斯	John Smith
约瑟夫·康普	Joseph Camp
约瑟夫·康普的法典	Joseph Camp's Grimoire
约瑟夫·M·康纳利	Joseph M. Connelly
约瑟夫·斯莱特	Joseph Slater
容格·特斯	Jürgen Tess
贾斯廷·杰弗里	Justin Geoffery
贾斯汀·克罗夫特	Justin Kroft
昆扬	K'n-Yan
昆扬人	K'n-Yani
卡达斯	Kadath
卡尔·海因里希	Karl Heinrich
卡尔·奥伦多夫	Karl Ohlendorf
索引会	Karotechia
凯瑟琳·奥克斯	Katherine Oakes
信仰守护者教团	Keepers of the Faith
基思·贝尔蒙	Keith Belmont
卡尔阔塔	Khar-Khota
克什托格亚	Kheshthogha
基马拉庄园	Kilmaur Manor
黄衣之王	The King in Yellow
凌国	The Kingdom of Ling
“厨房水槽”	The Kitchen Sink
黑龙会	Kokuryūkai
克塔古利克	Ktagoolik
昆云	Kuen-Yuin
基塔米尔	Kythamil
拉格罗希安人	L'gh'rxian
拉埃斯坦西亚	La Estancia
奇马瓜湖	Lake Chimagua
拉玛	Lamah
劳伦斯·洪	Lawrence Hong
拉永	Layung
时之叶	Leaves of Time
利莫里亚	Lemuria
冷原人	Lengi
莱斯特·迪恩	Lester Dean
刘易斯·施特拉特尔	Lewis Strater
罗霍克斯	Lhosk
辽药	Liao drug
断罪之书	Liber Damnatus
林桂	Linggiu
伊波恩之书	Livre d'Ivon
罗伊格尔	Lloigor
罗伊格尔控制的类恐龙造物	Lloigor-Controlled Quasi-Dinosaurian Construct
罗巴切夫斯基星空间弦基非线性意识	Lobachevskian-space stringbased nonlinear consciousness
洛克希德织女星航空公司	Lockheed Vega Aircraft Corporation
洛马大陆	Lomar
领主	Lord
失落的格兰基城	Lost City of Gelanggi
拉洛格	Lrogg
路德维希·普林	Ludwig Prinn
引诱饥馑者	Lure the Hungerer
莱尔·拉姆肖	Lyle Ramshaw
M-史诗	M-Epic
M部	M-Section
麦卡利斯特大楼	Macallistar Building
马格尼亚	Magonia
庄严会	MAJESTIC
庄严会作战命令 00001	MAJESTIC OPORD 00001
庄严会特别研究工程	MAJESTIC Special Studies Project
庄严-12 特别研究组	MAJESTIC-12 Special Studies Group
庄严-12 指导委员会	MAJESTIC-12 Steering Committee
铸月匠	Maker of Moons
三月科技有限公司	March Technologies, Inc.
马库斯·米切尔	Marcus Mitchell
马丁·库克	Martin Cook
玛希-昂妮	Másh-Ngi
精读	master (a tome)
马修·卡彭特的绿色三角洲卷宗	Matthew Carpenter's Delta Green Files
冒提	Mauti
中世纪形而上学实验室	Medieval Metaphysics Laboratory
思唤天眷者	Meditation Upon the Favored Ones
人熊雪人	metoh-kangmi
雪人	Metoh-Kangmi
米-戈	Mi-Go
迈克尔·贝尔克	Michael Bellek
迈克尔·凯拉沃	Michael Keravuori
迈克尔·米洛	Michael Myrlo
迈克尔·斯蒂曼	Michael Stillman
米哈伊尔·沙林	Mikhail Shalin
蜃楼二号	MIRAGE II
MK 搜寻	MKSEARCH
MK 终极	MKULTRA
暮纳尔	Mnar
摩根斯·德克尔	Mogens Dekker
月之透镜	Moon Len
月脸人	moon-faced people
蚊子海岸	Mosquito Coast
运动教团	Motion
冷-厄·穆拉·阿曼山	Mount Leng-e Mulla Aman
沙斯塔山	Mount Shasta
山海异变	Mountain and Sea
穆大陆	Mu
努班固	N'bangu
恩凯	N'Kai
不可名状的教团	Nameless Cults
地下世界之事	Narrative Concerning the Subterranean World
内森·哈马蒂	Nathan Harmati
纳撒尼尔·温盖特·匹斯里	Nathaniel Wingate Peaslee
瑙达巴姆城堡	Naudabaum Castle
纳亚-普雷亚萨	Naya Prayasa
勒库斯坦	Nechustan
死灵之书	Necronomicon
“复仇女神”	Nemesis（小行星）
新司祭	Neophyte
新组织	neotissue
新组织染色剂	Neotissue Stain
涅弗伦-卡	Nephren-Ka
“网络”	the Network
新潜能运动	New Potential Movement
恩格拉尼克山	Ngranek
“九八雷克斯”	Ninety-Eight & Lex
无通信定理	No-communication theorem
诺登斯	Nodens
尾西律	Nori Onishi
北斯德瓦里贩毒集团	Norte del Valle
国侦局四处	NRO DELTA, NRO Section DELTA
纳戈与耶布	Nug and Yeb
纳戈-索斯	Nug-Soth
奈亚拉托提普	Nyarlathotep
尼约格达	Nyogtha
奥贝德·马什	Obed Marsh
物品	object（超几何）
遮蔽记忆	Obscure Memory
敖德萨	ODESSA
影子之下	Of the Shadowe
战略情报局	Office of Strategic Services
奥拉夫·彼特里奇	Olaf Bitterich
奥拉索尔城	Olathoë
奥劳斯·沃尔缪斯	Olaus Wormius
门之穿越者	One Who Passes the Gateways
开启门扉	Open Gate
行动	operation
先遣员行动	Operation ADVANCE MAN
弧光行动	Operation ARC LIGHT
胶木行动	Operation BAKELITE
滚筒行动	Operation BARREL ROLL
宾果行动	Operation BINGO
黑山行动	Operation BLACK MOUNTAIN
蓝蝇行动	Operation BLUE FLY
布里斯托尔行动	Operation BRISTOL
火山口行动	Operation CALDERA
珊瑚游牧者行动	Operation CORAL NOMAD
速度与激情行动	Operation FAST AND FURIOUS
自由协议行动	Operation FREEDOM DEAL
短剑行动	Operation GLADIO
美景行动	Operation GOOD LOOK
荷尔斯坦因行动	Operation HOLSTEIN
库兹行动	Operation KURTZ
兰开斯特行动	Operation LANCASTER
救生员行动	Operation LIFEGUARD
镜面行动	Operation LOOKING GLASS
癫狂行动	Operation LUNACY
狂猩行动	Operation MADCHIMP
庄严行动	Operation MAJESTIC
米却肯州行动	Operation MICHOACÁN
北方灯塔行动	Operation NORTHERN LIGHTHOUSE
黑曜石行动	Operation OBSIDIAN
奥索阿维亚希姆行动	Operation OSOAVIAKHIM
逾期行动	Operation OVERDUE
回形针行动	Operation PAPERCLIP
波洛克行动	Operation PORLOCK
谜盒行动	Operation PUZZLEBOX
赤犬行动	Operation REDBONE
激流行动	Operation RIPTIDE
暴君结局行动	Operation SIC SEMPER TYRANNIS
欺瞒行动	Operation SKUNKED
翻滚行动	Operation SOMERSAULT
南方款待行动	Operation SOUTHERN HOSPITALITY
闪电山姆行动	Operation SUDDEN SAM
夏日微风行动	Operation SUMMER BREEZE
滑石行动	Operation TALCUM
塔尔坎行动	Operation TARQUIN
顶针行动	Operation THIMBLE
挽歌行动	Operation THRENODY
海岛风情酒吧行动	Operation TIKI BAR
喧嚣行动	Operation UPROAR
接球手行动	Operation WIDE RECEIVE
操作者	operator（仪式）
蛇形食液动物	Ophidian Liquivore
奥索罗诺弗里斯	Osorronophris
奥萨达古瓦	Ossadagowah
奥森多夫斯基	Ossendowski
相位失步	Out of Phase
法外之徒	the Outlaw（场外描述时）
展望集团	OUTLOOK Group, Inc.
外界	Outside
奥尔斯海德山	Owlshead Mountain
P4 办公室	The P4 desk
潘费罗·德·扎曼阿克拉·鲁兹	Pánfilio de Zamacona y Nuñez
模范基金会	Paragon Foundation
反情报、反渗透与反破坏异常现象情报部	Paranormal Intelligence Section for Counter-intelligence, Espionage and Sabotage
超心理学、超常、通灵现象办公室	Parapsychology, Paranormal, and Psychic Phenomena Desk
贱民	PARIAH
力量之五芒星	Pentagram of Power
巨石的子民	The People of the Monolith
永续化	permanence
刚韧构体	Persistent
彼得·霍迪奇	Peter Hodge
海燕山	Petrel Hill
石化术	Petrification
X-现象	Phenomen-X
光子纠缠通信	photon-entanglement communication
双鱼宫	PISCES
纳克特断章	Pnakotic fragment
纳克特抄本	Pnakotic Manuscripts
纳克提卡	Pnakotika
纳克提斯（城）	Pnakotis
103 号站点	Point 103
多语玄经	Polyglot Hsan
本-加齐之粉	The Powder of Ibn-Ghazi
鲍威尔·格林疗养院	Powell Green
“现灵”	poyavlyatsya
对黑色之人祷告	Prayer to the Dark Man
保存活脑	Preserve Living Brain
太初叙事诗	The Primal Lay
政府项目	the Program（场外描述时）
水瓶座工程	Project AQUARIUS
洋蓟工程	Project ARTICHOKE
蓝书工程	Project BLUE BOOK
大扬琴工程	Project DULCIMER
石榴石工程	Project GARNET
怨恨工程	Project GRUDGE
枪贩工程	Project GUNRUNNER
蜃楼工程	Project MIRAGE
月尘工程	Project MOON DUST
展望工程	Project OUTLOOK
帕西法尔工程	Project PARSIFAL
PHI 工程	Project PHI
冥王星工程	Project PLUTO
谜团工程	Project PUZZLE
谜盒工程	Project PUZZLEBOX
彩虹工程	Project RAINBOW
红光工程	Project REDLIGHT
黑水工程	Project SCHWARZES WASSER
天兆工程	Project SIGN
融入工程	Project SUBSUME
诉说工程	Project TELL
井道工程	Project WELLS
太古永生者	the Prolonged of Life
普罗帕夫夏	Propavsheye
原人	proto-humans
原修格斯	proto-shoggoth
原体物质	protomatter
PX 半影旗	PX Penumbra
权佑殷	Quányòuyīn
灰烬涅槃	Raise From Essential Saltes
伦道夫·卡特	Randolph Carter
苏生之水	Reanimation Formula
丽贝卡·考尔·桑希尔博士	Rebecca Kaur Thornhill
红十字袖珍圣经	The Red Cross Pocket Bible
红色管弦乐队间谍网	Red Orchestra spy network
“红人”	REDMAN
雷金纳德·费尔菲尔德	Reginald Fairfield
莱茵哈德·高尔特	Reinhard Galt
释放呼吸	Release Breath
遥视	remote viewing
“报告”	Report
拒死抗性	Resilient
格拉基启示录	Revelations of Glaaki
“混响”	Reverb
兰-提戈斯	Rhan-Tegoth
仪式	ritual
仪式激活等级	Ritual Activation rating
仪式激活检定	Ritual Activation roll
罗伯特·休伯特	Robert Hubert
罗伯特·贾斯汀·奥特加	Robert Justin Ortega
罗伯特·马什	Robert Marsh
罗伯特·马丁·奥姆斯特德	Robert Martin Olmstead
罗伯特·瓦尼	Robert Varney
罗纳德·肖	Ronald Shea
鲁道夫·拉登堡	Rudolph Ladenburg
S·M·什捷缅科	S. M. Shtemenko
萨巴特	Sabaoth
萨克曼德	Sarkomand
萨尔纳特	Sarnath
萨切尔·韦德	Satchel Wade
飞碟观察	SaucerWatch
威力权杖	Scepter of Power
亚洲的神秘奥迹，及对《戈尔·尼格拉尔》的评述	Secret Mysteries of Asia, With a Commentary on the "Ghorl Nigral"
安全研究小组	the Security Studies Group
窥得彼岸	See the Other Side
自解量子异常	Self-resolving quantum anomaly
哨兵山	Sentinel Hill
蛇人	Serpent-Folk
场	session
坤舆七奥书	The Seven Cryptical Books of Earth
玄子七奥书	The Seven Cryptical Books of Hsan
第三只眼军团	The Army of the Third Eye
圣阉宗	The Skoptsi
展望集团	The Outlook Group
老虎转运	Tiger Transit
D区库房	The D-Stacks
夏鲁拉西-霍	Shaurash-Ho
谢尔丹·邓伍迪-史密斯	Sheridan Dunwoody-Smith
修格斯	Shoggoth
舜尼	Shonhi
莎布-尼古拉丝	Shub-Niggurath
莎巴-尼古尔乌拉什	Shuba-NigùrUrash
“符印”	the sigil
银视	Silver See
简单	simple（仪式复杂度）
略读	skim (a tome)
斯克布提	Skoptsi
陨铁弯刀	Skymetal Machete
沉睡者，有角之神格拉基的天敌	the sleeper, bane to the horned god G'laak
撒托古亚的无形之子	Slime of Tsathoggua
翻滚 II	SOMERSAULT II
特遣队-H	Sonderkommando-H
出发前的一支歌	A Song Before Travel
能量之歌	Song of Power
三万灾祸歌	Song of Thirty-Thousand Calamities
大衮之子	sons of Dagon
宋辛莹	Soong Hsin-ying
安魂曲	Soothing Song
索斯	Soth
“太空魔鬼”	space devils
克苏鲁的子嗣	Spawn of Cthulhu
犹格-索托斯的子嗣	Spawn of Yog-Sothoth
梦境低语	Speaking Dream
特殊权限项目	special-access program
灵体水螅	Spectral polyp
鸟兽之言	Speech of Birds and Beast
地与空之灵	Spirits of the earth and the air
梅多布鲁克普纳大街	Spooner Avenue, Meadowbrook
ST-巴纳姆	ST-BARNUM
ST-马戏团	ST-CIRCUS
星室法庭	Star Chamber
星辰投资控股	Star Holding and Investment
星空智慧教团	Starry Wisdom
S站点	Station S
史蒂芬·阿尔基斯	Stephen Alzis
史蒂芬·柯蒂斯	Stephen Courtis
命悬于石	Stone of Life
风暴与宁静	Storm and Stillness
奇异者	the Strange Ones
物质 K	Substance K
苏门答腊女王号	Sumatra Queen
鱼拥云集	Swarm
联征群	syndeme
T-辐射计数器	T-Radiation Counter
塔丘安	Tachoan
塔吉比斯基兄弟会	Tadjbegskye Brotherhood
塔维尔·亚特-乌姆尔	Tawil at-'Umr
丘丘人	Tcho-Tcho
丘-查	Tchortcha
板块搅拌器	Tectonic Agitator
特希大厦	Teese Building
遥感链接	Telepathic Communion
赞加凡寺	temple of Dza-nGar Phan
大神庙号	Templo Mayor
暗水	Tenebrosa Aqua
血肉圣约	The Testament of Flesh
西奥多·莫尔斯	Theodore Morse
托马斯·阿诺	Thomas Arnold
托马斯·丹福斯	Thomas Danforth
自外而来者	Those Beyond
长尾鲛号	Thresher
阈值曲线	Threshold Curve
图勒发电机	Thule Generator
图勒/图勒族（的）	Thule/Thulian
蒂林哈斯特谐振器	Tillinghast Resonator
蒂莫西·杰克逊	Timothy Michaelson
特勒查-纳卡	Tleche-Naka
土乔	Tochoa
典籍	tome
胥冠堂	Tong Shukoran
全知	Total Knowledge
汤森德·布朗	Townsend Brown
超然	Transcendent
“游客”	"travelers"
三星之尼翁	the triple-star Nyhon
参禅（帝国）	Tsan-Chan
撒斯	Tsath
撒托古亚	Tsathoggua
图鲁	'Tulu
风滚草形食液动物	Tumbleweed Liquivore
乌巴	Ubar
内田良平	Uchida Ryohei
图勒	Ultima Thule
乌鲁米诺-纳卡	Uluumil-Naga
不可名状的教团	Unaussprechlichen Kulten
怪诞物质	Uncanny Matter
非自然	unnatural
非自然生理	Unnatural Biology
乌泽鲁-托斯	User-Thoth
伐鲁希亚	Valusia
万尼瓦尔·布什	Vannevar Bush
灵魂之窖	the Vault of Souls
沃雷	Voorii
维瑞之印	The Voorish Sign
沃米	Voormi
沃尔特·J·格雷曼	Walter J. Greyman
沃特·库格	Walter Kluge
温迪戈	wendigo
韦克斯勒	Wexler
死者呢喃	Whispers of the Dead
白色类人猿	White Ape
白徽章	white-badge
寰球企业	Whole Earth Enterprises
威尔伯·布罗姆利	Wilbur Bromley
“狂人比尔”	"Wild Bill"
威廉·埃森拜因	Wilhelm Eisenbein
威廉·戴尔	William Dyer
威廉·J·多诺万	William J. Donovan
威尔马斯报告	the Wilmarth report
温盖特·匹斯里	Wingate Peaslee
有翼仆从	Winged Servitor
有翼飞骑	Winged Steed
女巫使魔	Witch's Familiar
枯萎术	Withering
沃尔夫冈·莱克	Wolfgang Reich
迷幻世界	World of Fancy
撒特加斯齐	Xaatgaav Skil
撒达-赫格拉	Xada-Hgla
氙服务	Xe Services
辛	Xin
西纳扬	Xinaián
伊戈罗纳克	Y'golonac
伊戈罗纳克	Y’golonac
伊哈-恩斯雷	Y'ha-nthlei
雅迪斯	Yaddith
扬比	Yambi
扬子江站	Yangtze River station
耶库伯人	Yekub
黄色康拜因	Yellow Combine
耶尔巴洛卡	Yerba Loca
伊艾	Yhe
伊提尔	Yhtill
衍贺城	Yian-Ho
伊格	Yig
伊斯/伊斯人（的）	Yith/Yithian
犹格-索托斯	Yog-Sothoth
幽嘶	Yoth
月佬	Yue-Laou
月氏	Yueh-chi
尤里·克雷洛夫	Yuri Krylov
Z·L·毕夏普	Z. L. Bishop
扎多克·艾伦	Zadok Allen
卓波纳	Zobna
行尸走肉	Zombie（仪式）
僵尸	Zombie（实体）
索斯	Zoth
要员	official
官方审查	official review
哦啦	oorah
不良行动气候	operational climate
任务优先级	operational priority
行动支援分处（DEA）	Operational Support Division
行动分处（DEA）	Operations Division
操作工	operator
行动情报	OPINT
对抗检定	opposed tests
行动安保	OPSEC
行动节奏	optempo
橙色制服	orange suit
开源情报	OSINT
外人	outside man
上级监管	oversight
（行动）公开	overt
偏执型人格障碍	Paranoia
病原体	pathogen
模式	pattern
马路画家	pavement artist
惩罚	penalty
永久性伤残	permanent injury
永久疯狂	permanent insanity
顽疾	persistent disease
私人规划	personal pursuit
个人可识别信息	Personally Identifiable Information
说服	Persuade
药学	Pharmacy
特种载具	Pilot
钳制	Pin
明文	plaintext
合理推诿	plausible deniability
重播	playback
搭水管（行动术语）	plumbing
毒素	poison
政治行动组	Political Action Group
意志	Power, POW
先谓	predicate
棱镜	PRISM
产品（情报界术语）	product
职业	profession
本职技能	professional skills
项目群经理	program manager
投射于重要关系	project onto a bond
倒地，卧倒	prone
私有公司	proprietary company
朴素解释	prosaic explanation
诉讼	prosectution
精神变态	Psychopathy
精神治疗	Psychotherapy
积分歌剧	Psychotic Opera
创伤后应激障碍	PTSD
公共卫生服务军官团	Public Health Service Commissioned Corps
追逐	pursuit
谜宫	puzzle palace
隔离	quarantine
“雷卡尔”牌防护服	Racal Suit
辐射扩散装置	radiological dispersal device
