# KULT TRPG 术语表
恶名昭彰	Bad Reputation
战地医疗	Battlefield Medicine
热爱玩家角色	Be a Fan of the Player Characters
百兽之主	Beast-lord
激情难抑	Become a Victim of Passion
孤身失散	Become Separated
之精	Being of [...] [...]
神之众子	BeneiHa'Elohim
贝林族	Beryn
摄魂之魅	Bewitching
黑色风帆	Black Sails
饮血摄命	Blood drinker
嗜血之性	Bloodthirst
身形异变	Bodily Changes
形神合一	Body Awareness
躯体铠甲	Body protection
阈界	Borderland
困阈者	Borderliners
犯罪党首	Boss
契约束缚	Bound
至高链接	Bound to Higher Power
地狱羁绊	Bound to Inferno
死亡烙印	Branded
地狱烙印	Branded by Inferno
支离破碎	Broken
不堪重负	Buckle Under the Pressure
渲染氛围	Build the Atmosphere
入室贼人	Burglar
恶融怪	Cairath
食人恶癖	Cannibalism
设置困难	Capture Someone
梦境牢笼	Caught in the Dream
千面幻影	Chameleon
入世圆融	Character Actor
魅力	Charisma
魅力之辉	Charismatic Aura
四活物	Chayot Ha Kodesh
智天使	Cherubim
劈砍武器	Chopping Weapons
天选之人	Chosen One
平民	Civilian
荣耀准则	Code of Honor
铁石心肠	Cold hearted
奇珍收藏	Collector
战斗	Combat
战斗霰弹枪	Combat Shotgun
命令之音	Commanding Voice
竞争对手	Competitor
隐藏真貌	Conceal Something's True Semblance
在劫难逃	Condemned
至高链接	Connection to Higher Power
构造卫	Constructors
疯狂瘟疫	Contagious Insanity
外力操控	Controlled by External Force
冷静	Coolness
红鸡会	Coq Rouge
腐血蚀骨	Corrosive blood
诡计多端	Crafty
危机四伏	Create a Feeling of Exposure
编织梦域	Create a Realm of Dreams
创造有趣的怪物	Create Interesting Monsters
创造者	Creator
现场调查	Crime Scene Investigator
穿梭时空	Cross Time and Space
撬棍	Crowbar
钝器	Crushing Weapons
渊寄蝇	Crustacz
教团领袖	Cult Leader
秘教	Cults
机构师	Curatorids
咒根深种	Curse
诅咒缠身	Cursed
学徒术士	Dabbler in the Occult
诅咒军团	Damned Legionnaire
直面不适	Dare to be Unpleasant
无畏蛮勇	Daredevil
黑暗光环	Dark Aura
黑暗秘密	Dark Secrets
黑暗视觉	Dark Vision
欲梦灵	Darthea
资料检索	Data Retrieval
死亡凝视	Dead Shot
神枪手	Deadly Stare
造成伤害	Deal Damage
死亡	Death
死亡天使	Death Angels
死亡驱动	Death Drive
死亡伊始	Death is Only the Beginning
器械衰朽	Decomposition
稳定降低	Decrease Stability
孤注一掷	Desperate
缺陷	Disadvantages
获知洞悉	Discover Insight
时空扭曲	Distortion of Time and Space
神性示现	Divine
圣斗士	Divine Champion
神性之力	Divine Strength
狗	Dog
领域 [-]	Domain ([...])
引回极乐	Draw Someone Back into Elysium
梦境	Dream
幻梦生灵	Dream Beings
梦境行者	Dream Wanderers
梦境行者	Dreamer
驭车技艺	Driver
毒品成瘾	Drug Addict
利器	Edged Weapons
老朽者	Eldermensch
电	Electricity
呼风唤雨	Elementalist
精英教育	Elite Education
运动专长	Elite Sport
近神天使	Elohim
极乐之境	Elysium
极乐诸神	Elysium's Gods
忍受伤害	Endure Injury
创伤抗性	Endure Trauma
威胁执行	Enforcer
战斗交锋	Engage in Combat
超感知觉	Enhanced Awareness
开悟这的能力	Enlightened Abilities
开悟者/开悟者原型	Enlightened Archetypes
开悟者的缺陷	Enlightened Disadvantages
心魂之醉	Entrancement of the Soul
悦灵	Ephoria
装备	Equipment
骁天使	Erelim
裂空翼兽	Erinyes
迷魂夺魄	Erotic
脱逃大师	Escape Artist
虚化之术	Ethereal
迷魂琼浆	Euphoric secretions
伊娃·格劳	Eva Graue
以伤换伤	Exchange Harm for Harm
脱身计划	Exit Strategy
驱魔师	Exorcist
逐出极乐	Expel a Creature Back from Elysium
阅历深厚	Experienced
实验出错	Experiment Gone Wrong
领域专家	Expert
爆炸物	Explosives
爆破专家	Explosives Expert
探人隐秘	Extortionist
以眼还眼	Eye for an Eye
明察秋毫	Eye for Detail
堕天使	Fallen Angels
法玛利亚族	Famaria
家族秘密	Family Secret
狂热信徒	Fanatic
冥顽不灵	Fanatical
话术	Fast Talk
隐虎	Ferocco
特工精英	Field Agent
专精领域	Field of Expertise
急救包	First Aid Kit
幽谈者	Flakchatters
闪光弹	Flashbang
空中攻击	Flying Attacks
效忠领袖	Follow the leader
相伴之人	Followers
追随欲念	Following Passion
禁忌灵感	Forbidden Inspiration
禁忌知识	Forbidden Knowledge
花言巧语	Forked Tongue
体魄	Fortitude
盖亚	Gaia
团伙头目	Gang Leader
帮派成员	Gang Member
极乐之门	Gateway to Elysium
天资之质	Genius
庞然大物	Gigantic
告知后果，征求意见	Give the Possible Consequences and Ask
为造物赐予独特的内在逻辑	Give Your Creatures Their Own Internal Logic
好好心肠	Good Samaritan
千魂水蛭	Gransangthir
贪财好利	Greedy
咬紧牙关	Gritted Teeth
积怨于心	Grudge
看护者	Guardian
迷宫守护者	Guardians of the Labyrinth
罪责困心	Guilt
罪行愧责	Guilty of Crime
结肠兽	Gynachids
数字骇客	Hacker
哈菲兹·瓦希迪	Hafiz Wahidi
半械之躯	Half machine
手枪	Handgun
骚扰频发	Harassed
久经沙场	Hardened
哈罗德·奈特	Harold Knight
慈天使	Hashmallim
哈桑·努里	Hassan al-Nuri
哈苏 SWA-2	Hasselblad SWA-2
深仇大恨	Hatred
鬼魂附身	Haunted
自我疗愈	Healing ability
重甲护体	Heavy armor
继承者	Heir
帮助或阻碍	Helping or Hindering
至高存在	Higher Powers
狩猎者	Hunter
狩猎本能	Hunting Instincts
伊那艾芙莎	Iaineivša
心如冰霜	Ice Cold
梦蛭	Ichtyria
神恩赐福	Imbue gifts
免疫 [-]	Immune to [...]
凡物不侵	Immune to Harm
不朽之躯	Immunity
植入指令	Implanted Messages
情感骗子	Impostor
临机应变	Improviser
情不自禁	In the Grip of Passion
荒野之握	In the Wilderness' Grasp
地狱之殿	Inferno
地狱教士	Inferno's Clergy
病弱之躯	Infirm
影响	Influence
影响他人	Influence Other
权势之交	Influential Friends
非人之相	Inhuman Appearance
入门学徒	Initiate
内在之力	Inner Power
洞见神性	Insight into the Divine
暗示超自然	Insinuate the Supernatural
本能反应	Instinct
审讯之术	Interrogator
亲密时刻	Intimate Moment
威慑气场	Intimidating
直觉	Intuition
见微知著	Intuitive
发明创新	Inventor
调查	Investigate
失控通灵	Involuntary Medium
刀枪不入	Invulnerability
伊拉敏 - 苏尔	Iramin-Sul
以欣天使	Ishim
豺狼	Jackals
心如止水	Jaded
荧眼瘦影	Jatharna
妒心难控	Jealousy
约翰·M·奇温顿	John M.Chivington
施洗者约翰的头颅	John the Baptist's Head
熟能生巧	Journeyman
朱迪丝·席勒	Judith Schiller
锐利目光	Keen-Eyed
保持镇静	Keep it Together
昏睡药物	Knockout Drugs
麻痹气体	Knockout Gas
了解玩家	Know Your Players
库法吉	Kurfagi
冥渊黑蛆	Larvae
治愈之手	Lay on Hands
梦痕永驻	Leave Traces
满口谎话	Liar
情欲妖	Libiths
督法使	Lictors
遗迹生命	Life in the Ruins
快如闪电	Lightning fast
风驰电掣	Lightning Fast
梦世幽域	Limbo
限制	Limitations
开锁工具	Lockpicks
身份剥离	Lost Identity
迷宫无路	Lost in the Labyrinth
机骸之都	Machine City
机枪	Machine Gun
疯狂	Madness
魔法	Magic
法器	Magical Artifacts
灵觉通明	Magical Intuition
裁判官	Magistrates
勾魂摄魄	Magnetic Attraction
马格南手枪	Magnum Handgun
·至高存在 / 存在层面的行动	Make a Move for a Higher Power or Plane of Existence
威胁行动	Make a Threat Move
以虚构世界描述行动	Make Your Moves, But Describe Them in the Fiction
以虚构世界掩饰行动原因	Make Your Moves, But Use the Fiction to Disguise Why
信使	Malakhim
诱引者	Mancipia
追踪逐影	Manhunter
操纵伪世	Manipulate the Illusion
牵线御人	Manipulative
黑暗印记	Marked
马龙·骨，诺斯费拉图	Marlon Bones, Nosferatu
武术专家	Martial Arts Expert
武术大师	Martial arts master
武术训练	Martial arts training
魔法大师	Master
仪式领袖	Master of Rites
掌控伪世	Master of the Illusion
刑讯专家	Master torturer
幽冥邂逅	Meeting with the Exotic
往昔回忆	Memories from the Past
往世记忆	Memories of Past Lives
精神性强迫症	Mental Compulsion
精神疾病	Mental Illness
灰白巨蛭	Methusa
大都会	Metropolis
大都会的幸存者	Metropolis' Survivors
心灵操纵	Mind Manipulator
明镜	Mirror
内线谍网	Moles
驚怖真容	Monstrous form
肢体丛生	Multi-limbed
夜光甲虫	Nachtkäfer
夜惧魔	Nachtschreck
自然武器	Natural weaponry
天生武器/天然武器	Natural Weapons
血海深仇/仇敌	Nemesis
魔使	Nepharites
人脉网络	Network of Contacts
噩梦困扰	Nightmares
声名远扬	Notorious
复仇誓言	Oath of Revenge
魂牵梦绕	Object of Desire
慧眼如炬	Observant
观察局势	Observe a Situation
妄想症	Obsession
秘学体验	Occult Experience
秘术藏书	Occult Library
秘术研习	Occult Studies
提供机会，或有代价	Offer an Opportunity, With or Without a Price
缔结契约	Offered a Pact
指挥官	Officer
开启门户	Open Gateways
开辟通道	Opener of Ways
界域之门	Opening into Another World/Level
座天使	Ophanim
敌人	Opponents
投机分子	Opportunist
时渊行者	Out of Time
魂游太虚	Out-of-Body Experience
枭雄本色	Overlord
禁脔	Owned
编织契约	Pact-weaver
契约	Pacts
跑酷	Parkour
激情	Passion
被动属性	Passive Attributes
大都会遗民	People in Metropolis
暗影居民	People of the Shadows
感知	Perception
我见犹怜	Perpetual Victim
追捕者	Persecutors
珀耳塞福涅	Persephone
幽魂	Phantoms
恐惧症	Phobia
玩家行动	Player Moves
警察	Police Officer
未雨绸缪	Prepared
原则	Principles
投影化形	Projection
第三圣殿先知会	Prophets of theThird Temple
门生	Protégé
狩梦妖	Psyphagoes
谋略之士	Puppeteer
灵炼士	Purgatides
置于困境	Put Someone in a Bad Spot
质大于量	Quality Before Quantity
迅捷瞬速	Quick
才思敏锐	Quick Thinker
狂怒	Rage
理性主义者	Rationalist
狰肢	Razides
察微观众	Read a Crowd
解读人心	Read a Person
逻辑	Reason
领受神示	Receive Divine Inspiration
窥探他魂	Receive Insight Into Another's Soul
反应	Reflexes
自愈之力	Regenerate
生生不息	Regenerates
压抑记忆	Repressed Memories
医学实验负责人	Responsible for Medical Experiments
涅槃重生	Resurrector
彼岸返客	Returned from the Other Side
解除魔法	Revoke a Magical Effect
步枪	Rifle
敌意横生	Rival
坚固体质	Robust body
居无定所	Rootless
无情无义	Ruthless
精神分裂症	Schizophrenia
魔法 流派	Schools of Magic
科研专家	Scientist
命途已定	Sealed Fate
第十一科	Section 11
目挑心招	Seducer
洞悉伪世	See Through the Illusion
危机感知	Sense Danger
敏感之症	Sensitivity
分散隔离	Separate Them
炽天使	Seraphim
性神经官能病	Sexual Neurosis
如影随形	Shadow
往昔之影	Shadow from the Past
千面幻形	Shapeshifter
洞若观火	Sharp senses
冥渊候女	She Who Waits Below
梦境交错	Shift Dreams
霰弹枪	Shotgun
消音器	Silencer
第六感	Sixth Sense
浴血再起	Slayer
睡眠瘫痪	Sleep Paralysis
现世梦游	Sleep Walking
沉眠者/沉眠者原型	Sleeping Archetype
耍蛇驭魔	Snake Charmer
虚实莫测	Snake-tongue
潜踪匿迹	Sneak
狙击手	Sniper
灵魂	Soul
魂戮之室	Soul Slaughter
噬魂之渴	Soul Thirst
特殊装备	Special Equipment
魂链缠身	Spiritual connection
明镜	Stahlberg
跟踪者	Stalker
保持投入	Stay in the Scene
秽气萦身	Stink
离奇失踪	Strange Disappearance
街巷耳目	Street Contacts
街头斗士	Streetfighter
江湖通路	Streetwise
甲骨虫	Strigatumulus
顽强不屈	Stubborn
电击枪	Stun Gun
冲锋枪	Submachine Gun
模糊胜于明晰	Suggest Rather than Overwhelm
召灵唤物	Summoner
求生本能	Survival Instinct
求生专家	Survivalist
符印束缚	Symbol Bondage
剥夺物品	Take Their Stuff
灵符法宝	Talisman
泰瑟枪	Taser
催泪喷雾	Teargas Spray
技生兽	Tekrons
心灵遥感	Telekinesis
圣殿护卫	Templars
畸变者	The Abomination
学术家	The Academic
特工	The Agent
灰烬天使	The Angels of the Ashes
艺术家	The Artist
复仇者	The Avenger
返祖之变	The Beast
生化守护者	The Biomechanical Keepers
黑色盔甲	The Black Armor
黑树	The Black Tree
黑瞳之童	The Black-Eyed Children
骨笛	The Bone Flute
破碎者	The Broken
野心家	The Careerist
捕童手	The Child Collector
提灯之童	The Child with the Lantern
冥渊之民	The Children of the Underworld
癫狂舞	The Crazed Dancers
罪犯	The Criminal
定罪者	The Cursed
死亡魔法师	The Death Magician
欺诈师	The Deceiver
后裔	The Descendant
侦探	The Detective
门徒	The Disciple
玩偶	The Doll
家暴者	The Domestic Abuser
梦境诸君/梦境之君/梦君	The Dream Princes
漂泊者	The Drifter
光盘	The DVD Disc DVD
开悟者	The Enlightened
入迷者	The Entranced
无目之神	The Eyeless One
野化畸人	The Feral
中间人	The Fixer
主持人行动	The Gamemaster's Moves
高速公路之神	The God of the Highways
暴力的传令者	The Herald of Violence
黑暗契约	The Horror Contract
伪世破裂	The Illusion Tears
无法解释	The Inexplicable
地狱影响	The Influence of Inferno
虚无侵蚀	The Influence of Nothingness
永城浸染	The Influence of the City
至高效应	The Influence of the Death Angels
利尔延伯格研究所	The Liljenberg Institute
魅惑者	The Lure
伪世机制	The Machinery of the Illusion
蛾之梦童	The Moth Child
城市夜莺	The Nightingale of the City
尼普尔拼图	The Nippur Puzzle
神秘学者	The Occultist
苦难朝圣者	The Pilgrims of Suffering
至高威压	The Presence of the Archon
先知	The Prophet
妓女	The Prostitute
疯者之境	The Realms of Madmen
红色兄弟会	The Red Brotherhood
亡灵	The Revenant
左轮手枪	The Revolver
浪人	The Ronin
神圣兄弟会	The Sacred Brotherhood
都会异兽	The Savage Beasts
科学家	The Scientist
缝命梦巫	The Seamstress
探求者	The Seeker
幻影	The Semblance
哨卫教派	The Sentinel Cults
执政官的仆役	The Servants of the Archons
塞壬	The Sirens
沉眠者	The Sleeper
沉眠者	The Sleepers
沉睡中的掠食者	The Slumbering Predator
静水秘社	The Stillwater Collective
交换商人	The Swap Dealer
陵墓卫士	The Tomb Guardian
幽冥之渊	The Underworld 180, 276
老兵	The Veteran
野兽	The Wild Beast
憧梦影	The Yearning
灰纱信徒	The Zatars
跳出场景思考	Think Beyond the Scene from Time to Time
求知若渴	Thirst for Knowledge
时空	Time and Space
蒂芙妮·里德	Tiphany Reeder
拼至末息	To the Last Breath
火把	Torch
刑具	Torture Devices
坚韧皮肤	Tough skin
追索密网	Tracer
前人之迹	Trails from Those Who Have Gone Before
画皮藏形	True form
适得其反	Turn Their Move Against Them
（都市精英会）	UE (Urban Elite) UE
徒手搏斗	Unarmed
失控变形	Uncontrolled Shapeshifting
至高指引	Under the Control of Higher Beings
独特行动	Unique Moves
超凡巨力	Unnaturally Strong
难以揣摩	Unreadable
凝神静气	Unyielding
利用影响 / 缺陷	Use Disadvantages/Hold
资源消逝	Vanishing Resources
战场老兵	Veteran
浴血狂怒	Vicious when bloodied
犯罪受害者	Victim of Crime
医学实验受害者	Victim of Medical Experiments
激情难抑	Victim of Passion
心思玲珑	Vigilant
暴力	Violence
无垢之孕	Virgin Births
女神启示	Visions from She Who Waits Below
显灵	Visitations
狂言惑心	Voice of Insanity
苦痛之音	Voice of Pain
梦涡	Vortex
城市游魂	Wanderer
通缉/身负通缉	Wanted
暗中守护	Watchers
迷径寻者	Wayfinder
兵械宗师	Weapon expert
武器大师	Weapon Master
武器	Weapons
织命者	Weaver
装备齐全	Well equipped
冥渊之召	When the Abyss Beckons You
梦境交错	When the Dream Shifts
永城漫步	When You Walk in the Eternal City
白鹰财团 (WEC)	White Eagle Conglomerate (WEC)
意志	Willpower
锯齿猎兽	Wolven
秘境藏匿	Wondrous Place
工作狂	Workaholic
行遍尘寰	Worldly
叶奥曼——失落之神	Yeoman – The Lost God
是的，你可以跳舞	Yes, You Can Dance
坂井阳子	Yōko Sakai
皮剥怪	Zeloths
齐山·班吉尔	Zishan Bangial
